Topic,Count,Name,Representation,Representative_Docs
37,72,37_ctg_bl_chain_pota,"['ctg', 'bl', 'chain', 'pota', 'gaush', 'square', 'einstein', 'penice', 'cid479368cabbgp83tiu9hok68de8kd4paezyu0xgxafpycd1pv', 'bi']","['sohneyo narazgi te gll dil je ik dya narazgi lmkic dsso   cid479368canuc1v3tiqohqq2xo6xdaws1olcql80r9e3c2knzh    ctg    tod modke taa suttoge te tuhade gal nu je ik gaani lavaa', 'kaunsi fookte  regular choti gold black filter choti advance advance gaanza invisible   cid479368cay7a9x8kgqgdau0270xgwekk8yknr0fbuyxgvn0tx    ctg    502 beedi bundle  smoked  week ago  marlboro advance compact total   cid479368cac9uz0495j5zgn561qiiomg9v7kgbgrt5zvewz7gp    ctg    beedi fookti', 'einstein pota gya  jaanta   cid479368cabbgp83tiu9hok68de8kd4paezyu0xgxafpycd1pv    ctg    bhen lode square  b square ijikaltu b wholi square   cid479368cabbgp83tiu9hok68de8kd4paezyu0xgxafpycd1pv    ctg    einstein pota  einstein pota   s   cid479368camjt8exwbow05i8jltsej7c3fnvhior18hr6irqng    ctg   ']"
38,72,38_unblock_kirti_plz_cheating,"['unblock', 'kirti', 'plz', 'cheating', 'sorry', 'love', 'lie', 'treatment', 'hickeys', 'hawash']","['khada gya  love kirti sorry cheating plz unblock ', 'm type text mind love kirti sorry cheating plz unblock ', 'u l u nt u  love kirti sorry cheating plz unblock ']"
39,71,39_maths_subject_science_physics,"['maths', 'subject', 'science', 'physics', 'math', 'chemistry', 'biology', 'english', 'teacher', 'bio']","['favourite subject hindi maths science english subject kisike favourite h maths fav   history  drawing   maths love bhul science dia mark chance plz angreji biology  reproduction chapter  specially practical', 'apka favourite subject english science maths hindi english nt fav bt  maths  physics interesting', 'school favourite subject   math science commerce lmkc english literature  physics maths science maths school maths ab depression  political science']"
40,68,40_sexting_sex_yoursankita_foreplay,"['sexting', 'sex', 'yoursankita', 'foreplay', 'gf', 'rough', 'goss', 'wild', 'chiiii', 'tent']","['sexting goss goss  sexting real fake', 'hunch sexting  ', 'boys sexting withe make gf  sexting  gf   sexting option u  r u question mazak   yoursankita sexting 2nd  fwb 1st u r ready goss u    ur choice  kaash  thu khon  u ur worth sexting u urself destroyed 2nd optn qsn  sexting nt suffice real d aau purush urf aadmi  yoursankita fine dear gon make u wife  guys    cid479368ca9izxa1tjokwhgb0hemip9yuy5zp0kzrvj75notnx    ctg    sexting  gf  yoursankita gf banane achai kiu gf banogi akfin wife banjogi isiliya loyal tumhe payar sakunga ak gf bf relationship baki ssab real id aao brijesh deepens  sexting gf sounds winwin situation   wink  fuck fly smoke weed  high fly  nt shit sexting  fwbs wagara wagara  man culture  believes woman man  hey offer onn tareeka bheek mangne  u relationship gf casual friends u issues friends setting bhala pta choose gf  wan friend  partner crime overrated  s partner sexting    utavle tumaur jao 18 kr real id aao  web sex daur sexting atki   gf  n  cn u handle man  goss pls based perception understanding relationship varyif intrested lets goss dear gf banaunga pls loyal rahna dange karwaengi  depends vibe  hey mine  yoursankita guess s grab attention profile piche launda khushi khushi leta krlenge chaho ohh baand dey wan friends  find goss option afford lose   s check vibe decide  wan break girl tattoo  dhairya  patience  chaho  karlenge frds sexting baby s both fake id  sexting picture  depends  bakchodi chod behan interested m girl   yoursankita aishe ladko gf ban jaogi  yoursankita time sexing lag jaoge  sb moh maya   s talk discuss request accept karlo phir baat dekhege  sexting normal chat gf ban jao  tadap aesi gf knha baat atleast  gf ban jao   hey parbhu  hey krishna ram  hey parbhu gf ban jae gf ban jao girls message  gf ban jao  tadap beech baat gf  gf  nah friends nt mind   casual ready devi ji achi dost raho   fwb   yoursankita dm ll make cum hard sexting make mine friend girlfriendthen sexting  bacho harkaat e aab bass scammer h   yoursankita table book kr sham 7 baje ccd  s date   6hrs 169 comments  s lot dost bnogi  goss   s s figure  nt  yoursankita   ahh propably wan romantic room date baat krke pta chlega comfortable nhe friends bhe baan  goss  pehele gf ban jao sexting rahega babu  real girl start friend  mujhse dosti karoge  yoursankita milna   girl bestie s u u boys make u girlfriend u throw  is kalyug  kren  sexting gf bakchodi  sexting dost bante s fwb sexting ']"
41,67,41_depression_depressed_mood_mental,"['depression', 'depressed', 'mood', 'mental', 'sad', 'dispression', 'swings', 'career', 'disorder', 'panic']","['acting depression  sympathy  depressed  attention  depressed vent  s normal   cid479368cauhymtey9ffe9kzoy6fywkayjma9fbd57ucth9nwd    ctg    s hapchivate started realise taking care mental health important suppressing act normal  reason be s happy life trend follow kr  sympathy   gendu generation  depression muje bato kr deta  depression trending nowadays   s ppl thinks cool', 'sabko depression horha h  sabke depressed stories thak chuki  sach issue h trend l generation hogya h pagal  depressed tabhi chudaap h dikhate  chatur 3 pagal  depression trend chalraha hy jagah chill khaa depression h fear rahul here trend cool  nt  jarurat ummid depression deti fashion oncha pan drama  sb cool bnne koshish kr', 'depression  friends problems family gfbf friends m depressed depression pusssy pusssy moye moye  neet manav  jungal dipresan kesa hunch career  baki  existential crisis  biggest reason depressed loneliness  hope wish  soul wrenching condition    cid479368canx2g8ba1mu6hatopx5ljl7i8byg711erx6fradz3    ctg    family m nalayak friends m atm  gf  m confusion m chutiya world cup final dimag kharab yar hurt dosti yari bekar money mother understand favourite profession beautician  career  padhai career parivar khush  gfbf ban jayenge friends rahenga  career karan depressed depression depression exist peeche padhta chutiya']"
42,67,42_morning_gm_suprabhat_afternoon,"['morning', 'gm', 'suprabhat', 'afternoon', 'uth', 'night', 'day', 'guys', 'utha', 'sunrise']","['morning guys   random  morning  comments  suprabhat mitro  morning  morning wish follow back   morning morning morning morning', 'morning guys   morning  morning morning baby', 'morning   morning morning  morning ']"
43,67,43_personality_behaviour_boys_attitude,"['personality', 'behaviour', 'boys', 'attitude', 'childish', 'height', 'compliment', 'humour', 'mature', 'girls']","['matters girls  basically types attitude comment    sweetsugar follow krti ladkiya pasand ati  height behaviour sexy body  behaviour trustworthiness tightness behaviour smile nature ladki koe silicon dukaan  bhaari samaan  pahle loyal attitude cute matter hoon existence short height curly hairs  bob cut  course lusty real  natural  personality  sb ata h  s pussy', 'boys honest   attracts girl  behaviour maturity unconditional love loves  unconditional love   thora  behaviour behaviour smile personality  face behaviour', 'ladke girls kta dekte b      bs figer plz comment bataye behaviour figer  behaviour  personality personality   boobs  personality understanding nature  personality charitra']"
44,65,44_hrs_time_hours_waste,"['hrs', 'time', 'hours', 'waste', 'forward', 'travel', 'past', 'century', 'future', 'timepass']","['screentime   mine 4 hrs instagram 1 hr youtube 1 hr hunch 30min phone  30 min 78 hrs 89 hrs 56 hrs 67 hrs 5 hr48 min 1 hour 27 minutes  23 hours counts', 'whats average screen time mobile laptop 715 hrs lmkic  14 hrs 57 hrs 89 hrs  1012 hours 1315 hours weekend 10 hours weekdays 6 hours home 4 hours mobile zindagi kharab socha gf lu call laga raho ga ', 'time waste everyday  2  3 hours 6  10 hours 1  2 hours 4  6 hours lyf hee waste   24 hr 25 hrs bruh sacrifice sleep waste time poll padhke 3 min barbad hogye  sirf ajj  waste time ']"
45,63,45_night_goodnight_dreams_sweet,"['night', 'goodnight', 'dreams', 'sweet', 'bakhair', 'shab', 'gud', 'evening', 'ratri', 'shubhratri']","['night hunchers   night  shab bakhair  shubh ratri  goodnight  chale shabba khair  night night  ', 'night bologe   evening bolenge  bolenge  night  horror dreams bkl  night goodnight  night  sojaa  night sweet dreams night', 'guys night nikal night']"
46,63,46_delete_uninstall_app_bye,"['delete', 'uninstall', 'app', 'bye', 'hunch', 'account', 'boring', 'karde', 'system', 'goodbye']","['friend banega delete du   delete delete kr bhai marzi', 'hunch boring delete karde app real  deleted d n m delete', 'delete hunch     comments settings apps hunch uninstall bye  delete poll  simple steps search youtube oyee kii hoya  profile click dots delete icon    app info uninstall delete  delete kr dete h poll dalte nt 20 dogi raaz baat btaunga  click dot profile delete option    cid479368cao2c2xf1y77nvje1uplabjjy4phcxq5gu9a7iza77    ctg    uninstall   simple phone factory reset kr jaayega']"
47,62,47_eyes_face_makeup_smile,"['eyes', 'face', 'makeup', 'smile', 'hair', 'lips', 'skin', 'body', 'notice', 'figure']","['girls body part boys notices   batana lmkic s show cleavage guys face eyes  slowly boobies depends guys  notice hair covered feet  eyes smile  eyes smile attractive  attention face  curves next', 'girlguy  hair comment eyes ass girl s depends big smile  n behaviour ai nt gon lie  tibbies smile melt ur heart  eyes  boo  personality understanding tits face sexchat hairs forehead eyes age check s alive dead women nowadays walking dead bodies spiritless truthless soulless heartless  hot  cute  hair  voice makeup  boobies boobs size personality ass aa h yaa h smile  big boobs slim waist sexy ass bhupendra jogi dekhna padta shemale  hairstyle  outfit  shoes  jawline level dic  wanted boobs  eyes face then boobs nature girl eyes ane height face shakal figure behavior attitude behaviour', 'girl boy boys gurl lips body face lmkic mao pehele eyes dekhti hoo insaan eyes   eyes brand shoes face eyes  girl 1  dressing sensefashion sense 2  lips  hair  eyes body intelligence height  eyes loyalty s scientific observe physical qualities closest range vision  nt d friends roast taste men  red flag hawt mard h   face fuddy height personality lips dekhta love priyanka chopra lips hairs  smile  size dick nt eye  focus  stare 12 seconds face  ']"
48,62,48_polls_poll_hunches_glitch,"['polls', 'poll', 'hunches', 'glitch', '53', '1000', 'hunch', 'sher', 'creator', 'jaldi']","['u hunch comment create polls follow polls hunch bakch        comments', 'polls poll jaada content  cmt jaldi jaldi jaao check sach btau v ha   dance krke dikhao tumne poll post oldest polls jada ache roj roj polls quality kharab poll check karoon   ladki id isiliye attention ', 'repetitive polls glitch  top polls polls section scroll bich polls firse aa jate ha yaar  application meh bug ']"
49,62,49_virgin_virginity_age_18,"['virgin', 'virginity', 'age', '18', 'lost', 'lose', 'loose', 'dignity', '16', 'married']","['virgin boy girl marry virgin girl boy  virginity associated personality  definitely married virgin girl   ptaa lagega virgin virgin bdiya dikkat niyat kharab ladki', 'u loose virginity  nt wan answer virgin comment  virgin ', 'virgin ']"
50,60,50_drink_whiskey_beer_rum,"['drink', 'whiskey', 'beer', 'rum', 'water', 'juice', 'vodka', 'whisky', 'milk', 'chai']","['drinks pasand h beer vodka rum whiskey h20 whiskey mango juice piya yr sugarcane juice nonalcoholic beer pani pani isha sanjeevani bournvita chai', 'drink  whisky  wine  rum  beer  lassi mut pile  russian dudhhu chai whiskey rum rim venom milk  coconut water   water frooti water ', 'favorite drink soft drink comment batata whiskey beer whiskey']"
51,59,51_women_feminism_feminist_equality,"['women', 'feminism', 'feminist', 'equality', 'upliftment', 'men', 'minded', 'required', 'gender', 'views']","['feminist         whats feminism feminist bed    cid479368cac6n33jkz1l5kwxk8hj1r8zufp0wm3etdygs23kyp    ctg    s definition feminist  femenist situation yess m feminist   s equal rights  put end sexism  respect equality ', 'feminist   agr lmkic bada  undecided  feminism rn failing protect women rights  s hurting women  feminism naam males exploitation  baki full support nari samajh hate toxic feminity belive justice equality  feminism sexism joke yaar feminist limit humanist  hitler identify table feminist hate fake feminism insaan  pitbull  dakh lijiye', 'feminism equality  s ag  orthodox patriarchy ag  men    women labour gv birth women r inferior 2 men women meant serve men women  men  northstar misogynist  angry bestie  equality   rimuru09 tag  xinthetiqq  jalankhor inshan   women upliftment  bellaaaa open minded views upliftment women required  nevercosy give upliftment measures feel bully feminists  classyrebel open minded views upliftment women required  tartstatue open minded views upliftment women required  bhumi1578 open minded views upliftment women required  xnotmat open minded views upliftment women required  dramaticoptimist give ideas cleanse patriarchy bring equality human  removed friends circle    afsanaamir open minded views upliftment women required  girlyapa open minded views upliftment women required  sugarpop views upliftment women change orthodox patriarchal mindset    flourish open minded views upliftment women required  000rhoitgujjar feminism women s   zoeeeeee bahumulya vichar prastut kariye  messedupsoul open minded views upliftment women required boht lamba discussion ca nt balance  feminist toxic woman house wife s uplifting women account onlyfans  feminism uplifting women supporting independent  nt women servant house wife s feminist online whore  means gloryfying men validation preaching feminism ensuring equal access opportunities citizens recognizing addressing systemic biases creating environment respects values diversity  women treat equal men  stage equal work equal pay  acc dharma women superior men respect women   respect women nanga naach social media ie  reels sorry  ll choose jail instead  chinese logo aankho chhote kapde humari chhota batati h   xinthetiqq open minded views upliftment women required feminism equality supporting woman  ve feminist brutal wid woman traditional housewives n kids n  ve comments section insta call servants  work mothers servants   toxic  feminism nt bringing woman nt wan work s choice  s supporting choices woman juz wan force  work n work nt kids nt marry blah blah  feminists r toxic understanding meaning feminism ']"
52,59,52_inch_size_inches_penis,"['inch', 'size', 'inches', 'penis', 'dick', 'bigger', 'veiny', '7inch', 'length', 'matter']","['girls  size prefer  5 inch 7 inch 6 inch       7     depend ameer  paisa size khushi khushi lengi', 'girls boobs size boys dick size comment commenting mine 7inch 32cm 55 inch 675 inch 8 inches 732 inches 32 6 inch', 'girls honest size dick prefer skills 5 inch 4 inch 6 inch lmkic 7 inches average   9 inches hurts partner ']"
53,59,53_music_dance_writing_hobbies,"['music', 'dance', 'writing', 'hobbies', 'listening', 'singing', 'hobby', 'sleep', 'drawing', 'anxiety']","['apko achha   workout music definitely music   sc s e oonlg n e glooy ng oflfe    music  chai music music workout  badminton  exercise  music football ', 'feel anxiety  listen music talk friend distract cry   cid479368cavxoo2dbjuepcq50dumctu2zkaazx55ebxpl1wpr7    ctg    music sun skti sad mt sun lena friend baat kro saale dard kha jate    cid479368cavk1ws04srvvomfqjcd9zv4ctq62hphqj01iumpif    ctg    eat sleep anxiety excitement  moye moye  jaata hu chai music  bollywood music  songs   chai friend  anxiety  men  hr din rhta beemari   taj mahal close house  pen diary thn start writing  stars  sukoon milta h music sit  deep breaths meditate  smoke  haat pakadne saab', 'free time   sports lmkic music roaming lay bed scroll reel watch drama muthhi beatbox  poetry  music  practice making listen   kabhar munshi premchand mansarovar padhta music  sports  roaming  lmkic  football  music overthinkfake scenarios busy time din free time  music forever   hunch days commenting hunch insta  miss  u heard sleep  drawing  sleeping  music ']"
54,56,54_sexting_sex_girl_texting,"['sexting', 'sex', 'girl', 'texting', 'available', 'swollow', 'chat', 'sperm', 'drunken', 'high']","['sexting  girl boy', 'sexting girl  sexting girl ', 's sexting girls lmkic']"
55,55,55_crush_move_ghosted_feelings,"['crush', 'move', 'ghosted', 'feelings', 'nt', 'find', 'back', 'bestfriend', 'talked', 'friend']","['confess love crush  crush cahiye tumhe open heart surgery karwa tbh  nah nvm  fluffygirl follow s goss haa neighbour s reason move pa ra noo  crush  proposed nope naaaa  make fall  friends crush expressed feelings blocked loose friendship  crush  confession  wbu  confess duty  ha opposite party s duty  sadly', 'crush himmat  haa nahi crush rejected bcz bestfriend older brother crush  crush ', 'u  crush bestie crush u kick ass crush u crush  bhumikasharma jk opt 1  crush tk crush  uski bhen  crush']"
56,55,56_superpower_invisibility_invisible_power,"['superpower', 'invisibility', 'invisible', 'power', 'reading', 'teleportation', 'mind', 'super', 'fly', 'flying']","['powers superpower   multiple choice  invisibility flying mind reading invincible immortal invisibility mind reading mind tony stark', 'powers teleportation mind reading invisibility flying imagine stepping invisible shit mind reading  prefer mind control mind reading ', 'possess superpower real life   invisibility time travel teleportation mind reading choose mind reading teleportation  invisibility iykyk confused  time travel mind reading   cid479368caiph52woslwvt5rco57ocds5y8sisegf21keyg271    ctg    time travel']"
57,55,57_coffee_tea_chai_milk,"['coffee', 'tea', 'chai', 'milk', 'water', 'coffe', 'cold', 'lover', 'cappuccino', 'pani']","['choose coffee  tea  chai   tea tea ', 'choose    coffee tea tea coffee  chai  coffee  prefer tea coffee chai lob yaar ', 'u prefer tea coffee coffee tea chai  coffee chai lobe ']"
58,54,58_bathroom_toilet_cleaner_wash,"['bathroom', 'toilet', 'cleaner', 'wash', 'bath', 'soap', 'dishwashing', 'toilets', 'dishwasher', 'liquid']","['bathroom sing sleeping  inside bathroom billionaire return back broke guy  wash hands time sing time nahata hoon  sochta galti kiss ss hoye kr  powerful bathroom bath lete time susu kr leta kbi kbi make formula fight cancer shampoos', ' choose give reason choose bathroom floor lick public toilet  pussy', 'write movie bathroom lga dena sirf pdhunga likhunga omg 2 movie bathroom  rah deadpool 2016 ajab prem gazab kahani bathroom 365 days batchroom  bathroom  prem dewani bathroom  dhamal bathroom hulchum bathroom malamal weekly bathroom humko dewana bathroom apke baathrom khushi gum bathroom tiger 4 bathroom sanam bathroom naam bn gya ']"
59,54,59_gym_workout_muscle_fitness,"['gym', 'workout', 'muscle', 'fitness', 'weight', 'cardio', 'home', 'fat', 'exercise', 'muscles']","['prefer  walkrun road yoga home gym    ntg 666 sleepasan running bitches  exercise h whiskey water   hiit workout home running park options calisthenics home gym set home weight training exercise home workout home', 'gym traner  3 fitness gym sir split follow 5 months splits  im skinny guy gain muscles brother pump  45 dabbe protein add kr diet mei gym pa exams wajah home workout routine fitness related poll dalo', 'gym  planning  wbu   week gym home workout']"
60,53,60_naked_nudes_nude_send,"['naked', 'nudes', 'nude', 'send', 'pics', 'hhe', 'behosh', 'clothes', 'dress', 'pillow']","['wear sleeping   honest  apke aa  half naked tmkc  lmkic  full clothes full naked clothes im naked', 'naked night  depends s body s', 'naked public naked random girl']"
61,52,61_tmkoc_boss_show_tv,"['tmkoc', 'boss', 'show', 'tv', 'bigg', 'episodes', 'watch', 'big', 'munawar', 'series']","[' saat nibhana saatiya tmkoc shaktiman dailyshop bekaar hamesha overacting sakalaka boom boom karishma karishma shaktiman hero vikaram betal time favourite  alian tv  bhabhiji bhabhiji kalesh karan  zz series dekho naaptol bigg boss koffee karan  sooo jao bohutt thand   tmkoc boring nowit end puchne baat h  ofcourse tmkoc maa chutt 98372 70290 chutiyapo door h  emoji  moye moye  oye papaji oye papaji bhabhi hai   cid479368caoj3hkhy6dzsbltu2271b5bhod2zc73tj6zq3ffnm    ctg    option dalna app named username pasand serial dekhta  serial dekhta amazon mini tv doraemon kapil sharma show ', 'show favorite  love school splitsvilla temptation island lem pick   option forgot add   s rick morty show quit watching tv  tmkchut ghanta friends tmkoc tmkoc  tmkoc acche family show reels bb krta  big boss missing h', 's favourite tv show  tmkoc cid bigg boss lmkic asur season 2 bigg boss  temptation island days']"
62,51,62_doggy_missionary_position_cowgirl,"['doggy', 'missionary', 'position', 'cowgirl', 'style', '69', 'lotus', 'reverse', 'chair', 'sex']","['sex position  missionary lotus 69 doggy cowgirl cowgirl  doggy  monkey missionary', 'favourite sex position  mine     3   comments doggy 69 missionary cowgirl', 'favourite sex position sex 69 doggy style missionary']"
63,50,63_changa_dulhan_dapar_picha,"['changa', 'dulhan', 'dapar', 'picha', 'hasna', 'rishtedar', 'sher', 'dheri', 'jhandwa', 'pehe']","['vi changa pyo vi changa rishtedar  mad     ga   du bkl beh    ache khan', 'v changa pyo v changa v changi rishtedar comment sone kemchoo ben stokes', 'paisa  paise laga du dheri  ambani batayega laga dher hatho mel  pesa pas ni hoot line lagegi rishtedar  yaar    kehta kohinoor chori ambani paas kohinoor nita    dheri lga ga address batn kiddo']"
64,49,64_life_living_restart_meaning,"['life', 'living', 'restart', 'meaning', 'live', 'pointless', 'meaningless', 'happy', 'purpose', 'destiny']","['guys living  dream nt may ca nt live live nt happy  life living love   patah jatah h tumare patah h mummy dedo mummy voh dedo patah h   akele rhena chahte akele rhena chahte s depend you   time       cid479368ca79fkb372nejy8z1qvpwftpfv2pyltm8jd6pjp1sr    ctg    wish  humans meant live yaar s part life experienced  person goals leaves due lack socializing person fulfilled goals learned live stressful life make deal changing  living  s', 'meaning life   life meaning life love  darkest time u twink hope life find meaning life pta chalne ta  pta chale btana  sober bataunga struggle   tinyscar meaning life   live full enjoyment   potato life means living', 'perspective describe meaningful life   describing comments interested life meaningless  worth living provided recognize meaningless  find meaning  personal opinion logically feel life meaningless  survive life s important life meaning purpose  find purpose process meaningful life  question pols mine ']"
65,49,65_instagram_chalata_media_insta,"['instagram', 'chalata', 'media', 'insta', 'social', 'stalk', 'moya', 'id', 'tiktok', 'reel']","['lets friends instagram     comment insta id ', 'instagram  comment  instagram  ', 'goss instagram  drop id   yesss wtf goss instagram chalata']"
66,49,66_sunday_saturday_weekend_plan,"['sunday', 'saturday', 'weekend', 'plan', 'day', 'dab', 'week', 'monday', 'plans', 'holiday']","['tomorrow   saturday monday tuesday sunday bank holiday  resting day  scolded week office  sleepday today bdy paper today  saturday ', 'choose  saturday evening sunday morning sunday evening saturday evening wht saturday evening sat evening hit hard  mornings weekend moj subah sunday jamkar soyenge', 'describe sunday fav day everyday sunday  day saturday monday']"
67,48,67_android_iphone_samsung_apple,"['android', 'iphone', 'samsung', 'apple', 'phone', 'ios', 'nokia', 'pro', 's23', 'redmi']","['device u  iphone android android', 'android ios  reason  ios reason comment android android commonly easy portable  cli  multitasking  performance android  reasons phone  1 celebrity privacy iphone  2 cheap price  nice usage upto performance  3 easy handle  4 products charger earphone upto cheapest compared iphone  5 android money iphone reason brand   6 reasons nt time say  android  iphone paise', ' prefer  pas  aor  iphone prefer android android prefer android iphone prefer iphone android prefer iphone aayein android prefer keypad android prefer android prefer  android prefer android']"
68,48,68_book_books_novels_read,"['book', 'books', 'novels', 'read', 'genre', 'reading', 'erotic', 'series', 'story', 'cover']","['recomendatuon beginerr read book book interesting interest  recomendation comment    savitha bhabhi chhodh bhay  geeta padh    secret nagas amish tripathi genre  aologies  m speak alot poll  the book  pick random book stall start reading page pr capturing attention  find    begin light  nt connect harry potter witchcraft type fiction fit  romcom drama  cecelia ahren writes wonderful romantic comedies tragedies   ps love  book read hooked  books  rainbows end  n  memories  converted movies  love nt connect  history biographies  history cn  train pakistan  kushwant singh  chilling  n biographies whomsoever prefer  nt fit classics jane austen leo tolstoy  personal favorites   secret vedas  sri aurobindo  ', 'book recommendations   plz give lil description book description genre book  s base  lmkic comments  engineering mathematics quantum mechanics caption needed read s head russ nt books light suggest warlock magus world scenes naruto revarance insanity variety colleen hover alchemist paulo coelho pride prejudice jane austen book character development elizabeth bennet  protagonist book  learns repercussions hasty judgments appreciate difference superficial goodness actual goodness  watch movie  read', 'enjoy reading books  nooo  hate  maximum 3 pages s interesting book suggestion   nt twilight state books  read novels ']"
69,48,69_boobs_ass_big_nipples,"['boobs', 'ass', 'big', 'nipples', 'mouse', 'mickey', 'tits', 'boob', 'thighs', 'figure']","['u pic    boobs shirt figure mickey mouse   cid479368ca3d2ucbukq8uqfd6hbpe2mguq6lle5au44bsj63rz    ctg     bismanhere set s perfect wan happen    dikhvo pressing boobs mickey mouse tharki he  re sexy  boobs shipra area mickey hiding pointed object  ur attention pleaselady killer figure wan pluto uranus damn wan drink milk   cid479368cavzczh7ve3ubi7paiee3ebetqj976op4nqzhaora6    ctg    mickey mouse jeebh bahar nikl gyi h  wish micky mouse play melons boobs wow boobs poke nipple add comment  ur nipples playing hideseek micky mouse  ohh figure huge boobs  hope braless s noticed erected nipples  chew suck erected nipples soft big melons makes calm  hot desire nipples settled worried erected   curlet black points ur mellon show curves lady  wan bang hard rock coochie shirt naam print karvaya  r cothes   loose  love mickey mouse figure big boobs erected nipples boobiessss  shiprahot  m u follow show  ur projected nipples lucky mickey mouse open boobs mickey mouse  s option nt trouble  aapke boobs chusne h point nipple boobs ur boobs craziest dear mickey mouse s blast figure  ', ' important  b   bs butt   big bouncy butts pussy boobs milega   boobs boobs boobs depends girl  dark hard nipples boobs anytime boobs amazing  give boners everytime boobs   cid479368ca6d2mr5tv66gfz2at2ewp9zbusb6u3xt7w29oo6td    ctg    boobs ', 'girls bigg ass boobs  boobs ass  ass boobs boobs ass ur mom abey saale  ']"
70,48,70_dating_app_apps_tinder,"['dating', 'app', 'apps', 'tinder', 'bumble', 'hunch', 'happn', 'hinge', 'works', 'date']","['dating app grindr tinder guess nt girl dating app ladki dating app jaayegi real life mei 100 chutiye propose krte  ludo  hunch  bgmi  cod kra sex khi kro matalb hunch bhi', 'dating  tinder happn bumble hunch  mini tinder dating  hunch  dating app boy  girl  hinge boo hunch ', 'dating apps works  ']"
71,47,71_yess_goss_horny_nooo,"['yess', 'goss', 'horny', 'nooo', 'noss', 'ting', 'wan', 'yesss', 'nah', 'bang']","['ready fuck    nooo yess goss', 'talk  yess goss ', '  yess']"
72,47,72_introvert_extrovert_ambivert_pervert,"['introvert', 'extrovert', 'ambivert', 'pervert', 'shy', 'introverts', 'extroverts', 'social', 'introverted', 'type']","['s personality  extrovert introvert introvert bhai selectively extrovert introvert introvert   sehnazeeee hey follow goss bakchodi   ambivert ambivert god  kind  selective extrovert', 'type person   extrovert  male  introvert  male  extrovert  female  introvert  female  introvert male offline extrovert male online virtual extrovert manav introvert midvert introvert psychopath ambivert  ambivert introvert pervert  ambivert perv  too introvert bakchod ambivert m ambivert introvertedly extrovert ', 'girls  introvert boys extrovert boys  extrovert introvert ladki pasand  timepass extrovert commited introvert ladka  extrovert ladke']"
73,45,73_meerut_answered_omg_sensitive,"['meerut', 'answered', 'omg', 'sensitive', 'this', 'pune', 'amazing', 'gross', 'notice', 'esa']","[' omg ', 'meerut', 'answered  ']"
74,45,74_talk_chat_available_conversation,"['talk', 'chat', 'available', 'conversation', 'talking', 'wan', 'talks', 'call', 'mic', 'curved']","['wan talk   ', 's talk talk  nt talk listen ', 'talk lets talk follow talk']"
75,44,75_money_respect_loyalty_girls,"['money', 'respect', 'loyalty', 'girls', 'understanding', 'care', 'kmaungi', 'smartnase', 'pse', 'playboys']","['girls form men  nowadays    bsed today s scenario  respect  sex  money  love  money  respect  long lasting sex    nation know paisa  gadi  mehenga  communication  understanding respect  trust  support  love respect dil jitaja', 'u expect relationship  money love respect cmnt respect  love understanding basic  sex kidding  loyalty    mom', 'girls boy s sex respect  love respect  care  understanding love  money money money money  dhoom machaale dhoom']"
76,44,76_business_job_government_govt,"['business', 'job', 'government', 'govt', 'private', 'blowjob', 'freelance', 'work', 'idea', 'passion']","['job business life set job business bethe rho  job', 'work  business job', 's   job business  job business']"
77,43,77_random_gc_insta_join,"['random', 'gc', 'insta', 'join', 'group', 'add', 'drop', 'wan', 'chat', 'oky']","['wan join random insta group random gc  flirting point ', 'wan join random insta gc  drop insta d comment', 'wan join random insta group ']"
78,43,78_car_lamborghini_supra_mustang,"['car', 'lamborghini', 'supra', 'mustang', 'maruti', 'gt3', 'porsche', 'omni', 'mercedes', 'speed']","['choose favourite car ', 'choose favourite car', ' favourite car brand  batati batata lund lund cruiser car lamborghini ambassador mercedes benz ford bmw aston martin mercedes bentley ford mustang bmw porsche tata luxury car brand mercedes benz']"
79,43,79_superhero_batman_thor_iron,"['superhero', 'batman', 'thor', 'iron', 'hulk', 'marvel', 'loki', 'spiderman', 'ironman', 'captain']","['girls chance sex marvel characters choose    reason comments  spiderman thor hulk iron man captain america  u reason 4 option thor stamina', 'chance act marvel film character iron man captain america hulk thor comment answer iron man hulk dr strange  loki loki', 'superhero power mcu  captain marvel wanda thor  hulk iron man ']"
80,43,80_time_bored_timepass_phr,"['time', 'bored', 'timepass', 'phr', 'kota', 'khumar', 'jhuk', 'future', 'pakde', 'pass']","['btao  time single  l months hmesha years mt puchho jabse paida  live  long distance valo jagha h  humesha akhand single mingle karadoge   hamesha jb paida tb  bachpan   cid479368cavadp5ch0l11461cn7lmk7wuytdceofkcpxoaukzy    ctg    janm  punar janam bachpan 3 months jaanna hmesha', 'guys question ans humesha bdlta rehta  comments kro agr glt huwa btayunga comment krta pta sax pux  time  khaya nasthe  plans  kitana time sawal javab waqt badalta arey phele bataona  time  time  s today s date ', 'choose  2 1 3 baap dera sb time machine leke jagah aa jauga 100m solemate    time machine lene bade chutiye  count jada 446   currently  3 3 doors leads destruction 2 aapke kakaji baat h sb mitra  backdoor domination 3 door  travel future wil soulmate change future knowledge back present earn money 3 soulmate time vese kharab isliye 2']"
